日期,收市,開市,高,低,成交量,更改%
2019年12月31日,"28,538.44","28,414.64","28,547.35","28,376.49",193.34M,0.27%
2019年12月30日,"28,462.14","28,654.76","28,664.69","28,428.98",185.07M,-0.64%
2019年12月27日,"28,645.26","28,675.34","28,701.66","28,608.98",184.93M,0.08%
2019年12月26日,"28,621.39","28,539.46","28,624.10","28,535.15",155.97M,0.37%
2019年12月24日,"28,515.45","28,572.57","28,576.80","28,503.21",95.29M,-0.13%
2019年12月23日,"28,551.53","28,491.78","28,582.49","28,491.78",233.47M,0.34%
2019年12月20日,"28,455.09","28,608.64","28,608.64","28,445.60",603.78M,0.28%
2019年12月19日,"28,376.96","28,278.31","28,381.48","28,278.24",262.57M,0.49%
2019年12月18日,"28,239.28","28,291.44","28,323.25","28,239.28",289.89M,-0.10%
2019年12月17日,"28,267.16","28,221.75","28,328.63","28,220.56",286.77M,0.11%
2019年12月16日,"28,235.89","28,191.67","28,337.49","28,191.67",286.77M,0.36%
2019年12月13日,"28,135.38","28,123.64","28,290.73","28,028.32",254.81M,0.01%
2019年12月12日,"28,132.05","27,898.34","28,224.95","27,859.87",277.74M,0.79%
2019年12月11日,"27,911.30","27,867.31","27,925.50","27,801.80",221.70M,0.11%
2019年12月10日,"27,881.72","27,900.65","27,949.02","27,804.00",215.81M,-0.10%
2019年12月9日,"27,909.60","27,987.05","28,010.42","27,906.14",219.07M,-0.38%
2019年12月6日,"28,015.06","27,839.68","28,035.85","27,839.68",224.83M,1.22%
2019年12月5日,"27,677.79","27,736.05","27,745.20","27,562.80",219.99M,0.10%
2019年12月4日,"27,649.78","27,634.63","27,727.45","27,612.08",218.20M,0.53%
2019年12月3日,"27,502.81","27,501.98","27,524.74","27,325.13",275.35M,-1.01%
2019年12月2日,"27,783.04","28,109.74","28,109.84","27,782.35",236.61M,-0.96%
2019年11月29日,"28,051.41","28,103.16","28,119.51","28,042.53",122.62M,-0.40%
2019年11月27日,"28,164.00","28,156.47","28,174.97","28,075.23",198.21M,0.15%
2019年11月26日,"28,121.68","28,080.75","28,146.02","28,042.21",329.80M,0.20%
2019年11月25日,"28,066.47","27,917.77","28,068.69","27,917.77",248.42M,0.68%
2019年11月22日,"27,875.62","27,831.23","27,898.46","27,773.98",218.58M,0.39%
2019年11月21日,"27,766.29","27,820.28","27,828.33","27,708.34",232.02M,-0.20%
2019年11月20日,"27,821.09","27,879.55","27,897.28","27,675.28",260.24M,-0.40%
2019年11月19日,"27,934.02","28,079.76","28,090.21","27,894.52",256.62M,-0.36%
2019年11月18日,"28,036.22","27,993.22","28,040.97","27,969.24",252.32M,0.11%
2019年11月15日,"28,004.89","27,843.54","28,004.89","27,843.54",288.91M,0.80%
2019年11月14日,"27,781.96","27,757.20","27,800.71","27,676.97",303.97M,-0.01%
2019年11月13日,"27,783.59","27,622.04","27,806.40","27,587.20",278.39M,0.33%
2019年11月12日,"27,691.49","27,701.59","27,770.86","27,635.32",213.67M,0.00%
2019年11月11日,"27,691.49","27,580.66","27,714.39","27,517.67",204.62M,0.04%
2019年11月8日,"27,681.24","27,686.20","27,694.95","27,578.97",222.79M,0.02%
2019年11月7日,"27,674.80","27,590.16","27,774.67","27,590.16",263.58M,0.66%
2019年11月6日,"27,492.56","27,502.74","27,526.05","27,407.81",243.19M,0.00%
2019年11月5日,"27,492.63","27,500.23","27,560.36","27,453.55",293.96M,0.11%
2019年11月4日,"27,462.11","27,402.06","27,517.58","27,402.06",273.03M,0.42%
2019年11月1日,"27,347.36","27,142.95","27,347.43","27,142.95",272.07M,1.11%
2019年10月31日,"27,046.23","27,188.37","27,188.37","26,918.29",273.83M,-0.52%
2019年10月30日,"27,186.69","27,110.71","27,204.36","26,999.64",231.75M,0.43%
2019年10月29日,"27,071.42","27,061.07","27,165.94","27,039.76",269.61M,-0.07%
2019年10月28日,"27,090.72","27,040.33","27,167.88","27,028.71",290.77M,0.49%
2019年10月25日,"26,958.06","26,789.61","27,015.37","26,765.68",274.61M,0.57%
2019年10月24日,"26,805.53","26,893.93","26,931.78","26,714.34",259.64M,-0.11%
2019年10月23日,"26,833.95","26,835.24","26,896.89","26,745.00",247.68M,0.17%
2019年10月22日,"26,788.10","26,850.43","26,946.64","26,782.61",265.51M,-0.15%
2019年10月21日,"26,827.64","26,852.67","26,852.67","26,747.62",241.03M,0.21%
2019年10月18日,"26,770.20","27,004.49","27,018.25","26,770.13",293.61M,-0.95%
2019年10月17日,"27,025.88","27,032.38","27,112.16","26,970.29",225.06M,0.09%
2019年10月16日,"27,001.98","26,972.31","27,058.34","26,943.29",218.24M,-0.08%
2019年10月15日,"27,024.80","26,811.20","27,120.11","26,811.20",247.48M,0.89%
2019年10月14日,"26,787.36","26,766.43","26,874.33","26,749.18",178.62M,-0.11%
2019年10月11日,"26,816.59","26,694.20","27,013.97","26,694.20",283.53M,1.21%
2019年10月10日,"26,496.67","26,317.35","26,603.31","26,314.51",217.68M,0.57%
2019年10月9日,"26,346.01","26,308.23","26,424.31","26,249.75",191.75M,0.70%
2019年10月8日,"26,164.04","26,276.59","26,421.81","26,139.80",251.42M,-1.19%
2019年10月7日,"26,478.02","26,502.33","26,655.84","26,424.54",197.51M,-0.36%
2019年10月4日,"26,573.72","26,271.70","26,590.74","26,271.70",224.49M,1.42%
2019年10月3日,"26,201.04","26,039.02","26,205.20","25,743.46",249.02M,0.47%
2019年10月2日,"26,078.62","26,425.86","26,438.04","25,974.12",312.73M,-1.86%
2019年10月1日,"26,573.04","26,962.54","27,046.21","26,562.22",272.18M,-1.28%
2019年9月30日,"26,916.83","26,852.33","26,998.86","26,852.33",228.48M,0.36%
2019年9月27日,"26,820.25","26,987.26","27,012.54","26,715.82",217.78M,-0.26%
2019年9月26日,"26,891.12","27,004.11","27,015.07","26,803.84",230.80M,-0.30%
2019年9月25日,"26,970.71","26,866.71","27,016.56","26,755.86",237.22M,0.61%
2019年9月24日,"26,807.77","27,034.07","27,079.68","26,704.96",307.43M,-0.53%
2019年9月23日,"26,949.99","26,851.45","27,011.07","26,831.34",214.83M,0.06%
2019年9月20日,"26,935.07","27,102.18","27,194.75","26,926.68",512.57M,-0.59%
2019年9月19日,"27,094.79","27,186.05","27,272.17","27,064.21",216.44M,-0.19%
2019年9月18日,"27,147.08","27,075.39","27,161.93","26,899.15",212.86M,0.13%
2019年9月17日,"27,110.80","27,010.12","27,110.80","26,984.14",223.58M,0.13%
2019年9月16日,"27,076.82","27,146.06","27,172.87","27,032.56",220.62M,-0.52%
2019年9月13日,"27,219.52","27,216.67","27,277.55","27,193.95",255.26M,0.14%
2019年9月12日,"27,182.45","27,197.32","27,306.73","27,105.01",254.65M,0.17%
2019年9月11日,"27,137.04","26,928.05","27,137.04","26,885.48",272.59M,0.85%
2019年9月10日,"26,909.43","26,805.83","26,909.43","26,717.05",322.34M,0.28%
2019年9月9日,"26,835.51","26,866.23","26,900.83","26,762.18",273.12M,0.14%
2019年9月6日,"26,797.46","26,790.25","26,860.87","26,708.39",209.70M,0.26%
2019年9月5日,"26,728.15","26,603.15","26,836.30","26,603.15",256.67M,1.41%
2019年9月4日,"26,355.47","26,301.99","26,362.35","26,244.44",202.71M,0.91%
2019年9月3日,"26,118.02","26,198.26","26,198.26","25,978.22",223.21M,-1.08%
2019年8月30日,"26,403.28","26,476.39","26,514.62","26,295.59",219.08M,0.16%
2019年8月29日,"26,362.25","26,249.09","26,408.84","26,185.71",212.19M,1.25%
2019年8月28日,"26,036.10","25,712.99","26,041.57","25,637.43",207.07M,1.00%
2019年8月27日,"25,777.90","26,014.46","26,054.02","25,721.85",263.53M,-0.47%
2019年8月26日,"25,898.83","25,826.05","25,941.25","25,716.39",222.78M,1.05%
2019年8月23日,"25,628.90","26,134.21","26,320.29","25,507.18",364.26M,-2.37%
2019年8月22日,"26,252.24","26,271.64","26,388.78","26,099.01",222.81M,0.19%
2019年8月21日,"26,202.73","26,145.36","26,268.32","26,141.77",208.79M,0.93%
2019年8月20日,"25,962.44","26,086.86","26,160.12","25,952.00",238.10M,-0.66%
2019年8月19日,"26,135.79","26,020.06","26,222.32","26,020.06",252.64M,0.96%
2019年8月16日,"25,886.01","25,678.17","25,929.65","25,678.17",276.21M,1.20%
2019年8月15日,"25,579.39","25,514.25","25,639.69","25,339.60",335.80M,0.39%
2019年8月14日,"25,479.42","26,035.08","26,035.08","25,471.59",357.00M,-3.05%
2019年8月13日,"26,279.91","25,888.88","26,426.97","25,833.25",309.61M,1.44%
2019年8月12日,"25,907.37","26,169.91","26,178.95","25,824.94",200.58M,-1.45%
2019年8月9日,"26,287.44","26,337.09","26,413.36","26,097.64",241.93M,-0.34%
2019年8月8日,"26,378.19","26,086.52","26,383.61","26,038.10",283.59M,1.43%
2019年8月7日,"26,007.07","25,814.22","26,073.21","25,440.39",350.09M,-0.09%
2019年8月6日,"26,029.52","25,810.62","26,038.68","25,710.87",322.97M,1.21%
2019年8月5日,"25,717.74","26,259.23","26,259.23","25,523.38",423.37M,-2.90%
2019年8月2日,"26,485.01","26,528.66","26,570.02","26,249.22",335.72M,-0.37%
2019年8月1日,"26,583.42","26,879.86","27,175.59","26,548.71",390.49M,-1.05%
2019年7月31日,"26,864.27","27,244.67","27,281.65","26,719.60",389.00M,-1.23%
2019年7月30日,"27,198.02","27,145.39","27,224.36","27,069.86",293.25M,-0.09%
2019年7月29日,"27,221.35","27,192.24","27,275.85","27,178.06",259.32M,0.11%
2019年7月26日,"27,192.45","27,166.00","27,213.70","27,123.25",243.20M,0.19%
2019年7月25日,"27,140.98","27,247.39","27,298.43","27,062.48",244.02M,-0.47%
2019年7月24日,"27,269.97","27,262.24","27,291.04","27,191.12",245.88M,-0.29%
2019年7月23日,"27,349.19","27,231.86","27,368.81","27,204.58",250.80M,0.65%
2019年7月22日,"27,171.90","27,174.18","27,227.77","27,088.90",226.95M,0.07%
2019年7月19日,"27,154.20","27,246.38","27,342.96","27,145.78",287.69M,-0.25%
2019年7月18日,"27,222.97","27,191.98","27,266.81","27,068.79",218.82M,0.01%
2019年7月17日,"27,219.85","27,320.91","27,343.06","27,218.38",196.78M,-0.42%
2019年7月16日,"27,335.63","27,349.32","27,398.68","27,290.24",226.00M,-0.09%
2019年7月15日,"27,359.16","27,364.69","27,364.69","27,294.17",199.73M,0.10%
2019年7月12日,"27,332.03","27,139.49","27,333.79","27,135.45",248.39M,0.90%
2019年7月11日,"27,088.08","26,950.16","27,088.45","26,916.32",252.30M,0.85%
2019年7月10日,"26,860.20","26,851.96","26,983.45","26,813.11",207.99M,0.29%
2019年7月9日,"26,783.49","26,725.12","26,807.70","26,665.57",218.33M,-0.08%
2019年7月8日,"26,806.14","26,835.64","26,839.14","26,744.87",214.29M,-0.43%
2019年7月5日,"26,922.12","26,867.75","26,950.81","26,733.33",192.17M,-0.16%
2019年7月3日,"26,966.00","26,832.32","26,966.00","26,831.44",149.84M,0.67%
2019年7月2日,"26,786.68","26,719.53","26,787.56","26,632.65",219.27M,0.26%
2019年7月1日,"26,717.43","26,805.86","26,890.64","26,616.21",285.35M,0.44%
2019年6月28日,"26,599.96","26,605.93","26,638.35","26,522.27",499.35M,0.28%
2019年6月27日,"26,526.58","26,523.72","26,607.24","26,465.32",246.93M,-0.04%
2019年6月26日,"26,536.82","26,599.42","26,660.04","26,536.33",274.34M,-0.04%
2019年6月25日,"26,548.22","26,731.61","26,752.31","26,527.66",282.16M,-0.67%
2019年6月24日,"26,727.54","26,727.61","26,806.52","26,723.37",232.39M,0.03%
2019年6月21日,"26,719.13","26,749.12","26,907.37","26,705.87",485.56M,-0.13%
2019年6月20日,"26,753.17","26,665.38","26,798.63","26,539.69",278.17M,0.94%
2019年6月19日,"26,504.00","26,490.16","26,569.75","26,415.05",240.95M,0.15%
2019年6月18日,"26,465.54","26,228.88","26,527.19","26,227.76",273.49M,1.35%
2019年6月17日,"26,112.53","26,108.53","26,165.78","26,049.80",199.50M,0.09%
2019年6月14日,"26,089.61","26,076.36","26,162.28","25,988.09",208.02M,-0.07%
2019年6月13日,"26,106.77","26,036.94","26,146.91","25,995.71",213.40M,0.39%
2019年6月12日,"26,004.83","26,040.30","26,082.10","25,958.66",223.69M,-0.17%
2019年6月11日,"26,048.51","26,180.59","26,248.67","25,998.87",253.49M,-0.05%
2019年6月10日,"26,062.68","26,090.22","26,210.61","26,054.31",249.28M,0.30%
2019年6月7日,"25,983.94","25,768.72","26,072.75","25,768.72",263.01M,1.02%
2019年6月6日,"25,720.66","25,567.45","25,800.30","25,518.05",248.07M,0.71%
